"","sDel","sNoDel","cat","follows","class"
"1",38,120,"m","C","H"
"2",0,6,"other","C","H"
"3",18,90,"other","C","H"
"4",7,44,"other","C","H"
"5",34,40,"n","C","H"
"6",30,42,"m","V","H"
"7",0,5,"other","V","H"
"8",2,23,"other","V","H"
"9",5,8,"other","V","H"
"10",20,1,"n","V","H"
"11",7,12,"m","P","H"
"12",0,8,"other","P","H"
"13",4,15,"n","P","H"
"14",377,349,"m","C","L"
"15",10,21,"other","C","L"
"16",160,218,"other","C","L"
"17",66,60,"other","C","L"
"18",232,129,"n","C","L"
"19",233,120,"m","V","L"
"20",8,24,"other","V","L"
"21",24,32,"other","V","L"
"22",15,9,"other","V","L"
"23",141,7,"n","V","L"
"24",98,27,"m","P","L"
"25",12,3,"other","P","L"
"26",138,34,"n","P","L"
"27",358,345,"m","C","L"
"28",9,6,"other","C","L"
"29",120,173,"other","C","L"
"30",45,81,"other","C","L"
"31",183,143,"n","C","L"
"32",215,123,"m","V","L"
"33",3,2,"other","V","L"
"34",30,27,"other","V","L"
"35",15,6,"other","V","L"
"36",80,56,"n","V","L"
"37",145,48,"m","P","L"
"38",12,9,"other","P","L"
"39",105,46,"n","P","L"
"40",582,547,"m","C","L"
"41",4,9,"other","C","L"
"42",226,197,"other","C","L"
"43",87,76,"other","C","L"
"44",284,106,"n","C","L"
"45",252,112,"m","V","L"
"46",5,4,"other","V","L"
"47",24,29,"other","V","L"
"48",10,5,"other","V","L"
"49",135,60,"n","V","L"
"50",221,59,"m","P","L"
"51",24,2,"other","P","L"
"52",238,37,"n","P","L"
